id,name,search_text,lat,lng,coordinate_status,source,source_row,source_checksum,is_active,created_at,updated_at,search_alias_text,coordinate_source,coordinate_source_row,province_code,area_code,business_unit_code,source_section,raw_label,canonical_key,source_refs,quality_flags
63f28499-3d3b-5213-a126-a5ef71040488,"Tầng 20, FPT Tower",tang 20 fpt tower,51.926059,-8.616759,MISSING,DS_Dia_chi_van_phong_FTEL_toan_quoc_upd_Foxeco.csv,6,be32c72f2b34aeabdcad21a26636d2473de1079ef5f5d35a9b7cc2a0e0a9525b,t,2026-07-23 07:41:34.052246+00,2026-07-23 07:41:34.052246+00,hni tang 20 fpt tower,\N,\N,HNI,\N,FPL,FTI_FPL,"HNI Tầng 20, FPT Tower",HNI|tang 20 fpt tower,"[{""row"": 6, ""section"": ""FTI_FPL"", ""raw_label"": ""HNI Tầng 20, FPT Tower""}]",[]
432ba90c-7a50-5039-9964-03a6cd785361,"15-17H.V.Thụ,KDCChánhNghĩa",15 17h v thu kdcchanhnghia,,,MISSING,DS_Dia_chi_van_phong_FTEL_toan_quoc_upd_Foxeco.csv,8,be32c72f2b34aeabdcad21a26636d2473de1079ef5f5d35a9b7cc2a0e0a9525b,t,2026-07-23 07:41:34.052246+00,2026-07-23 07:41:34.052246+00,bdg 15 17h v thu kdcchanhnghia,\N,\N,BDG,\N,FTI,FTI_FPL,"BDG 15-17H.V.Thụ,KDCChánhNghĩa",BDG|15 17h v thu kdcchanhnghia,"[{""row"": 8, ""section"": ""FTI_FPL"", ""raw_label"": ""BDG 15-17H.V.Thụ,KDCChánhNghĩa""}]",[]
e35b9ec0-0c14-54bc-afc6-263c16a12ab9,"Tòa V-City, Lê Thái Tổ",toa v city le thai to,10.253444,105.965806,MISSING,DS_Dia_chi_van_phong_FTEL_toan_quoc_upd_Foxeco.csv,9,be32c72f2b34aeabdcad21a26636d2473de1079ef5f5d35a9b7cc2a0e0a9525b,t,2026-07-23 07:41:34.052246+00,2026-07-23 07:41:34.052246+00,bnh toa v city le thai to,\N,\N,BNH,\N,FTI,FTI_FPL,"BNH Tòa V-City, Lê Thái Tổ",BNH|toa v city le thai to,"[{""row"": 9, ""section"": ""FTI_FPL"", ""raw_label"": ""BNH Tòa V-City, Lê Thái Tổ""}]",[]
029e804f-19e9-5771-8f3d-819c51e0116b,"363 Nguyễn Hữu Thọ,Cẩm Lệ",363 nguyen huu tho cam le,16.0191879,108.2115565,MISSING,DS_Dia_chi_van_phong_FTEL_toan_quoc_upd_Foxeco.csv,12,be32c72f2b34aeabdcad21a26636d2473de1079ef5f5d35a9b7cc2a0e0a9525b,t,2026-07-23 07:41:34.052246+00,2026-07-23 07:41:34.052246+00,dng 363 nguyen huu tho cam le,\N,\N,DNG,\N,FTI,FTI_FPL,"DNG 363 Nguyễn Hữu Thọ,Cẩm Lệ",DNG|363 nguyen huu tho cam le,"[{""row"": 12, ""section"": ""FTI_FPL"", ""raw_label"": ""DNG 363 Nguyễn Hữu Thọ,Cẩm Lệ""}]",[]
dd95e235-66e2-58fa-9365-fb1927499adf,"1 Võ Thị Sáu, Phú Quốc",1 vo thi sau phu quoc,10.2157911,103.9581364,MISSING,DS_Dia_chi_van_phong_FTEL_toan_quoc_upd_Foxeco.csv,18,be32c72f2b34aeabdcad21a26636d2473de1079ef5f5d35a9b7cc2a0e0a9525b,t,2026-07-23 07:41:34.052246+00,2026-07-23 07:41:34.052246+00,kgg 1 vo thi sau phu quoc,\N,\N,KGG,\N,FTI,FTI_FPL,"KGG 1 Võ Thị Sáu, Phú Quốc",KGG|1 vo thi sau phu quoc,"[{""row"": 18, ""section"": ""FTI_FPL"", ""raw_label"": ""KGG 1 Võ Thị Sáu, Phú Quốc""}]",[]
5e1d4910-8ca9-5e30-8519-d3c109e3d342,"128 HTH,Tân Chánh Hiệp,Q12",128 hth tan chanh hiep q12,19.405436,-99.059921,MISSING,DS_Dia_chi_van_phong_FTEL_toan_quoc_upd_Foxeco.csv,3,be32c72f2b34aeabdcad21a26636d2473de1079ef5f5d35a9b7cc2a0e0a9525b,t,2026-07-23 07:41:34.052246+00,2026-07-23 07:41:34.052246+00,hcm 128 hth tan chanh hiep q12,\N,\N,HCM,\N,\N,HO,"HCM 128 HTH,Tân Chánh Hiệp,Q12",HCM|128 hth tan chanh hiep q12,"[{""row"": 3, ""section"": ""HO"", ""raw_label"": ""HCM 128 HTH,Tân Chánh Hiệp,Q12""}]",[]
2fbe655f-f079-59f3-b5fe-72d5895a2096,"14 NVY,Phú Thọ Hòa,Tân Phú",14 nvy phu tho hoa tan phu,13.085553,109.300236,MISSING,DS_Dia_chi_van_phong_FTEL_toan_quoc_upd_Foxeco.csv,4,be32c72f2b34aeabdcad21a26636d2473de1079ef5f5d35a9b7cc2a0e0a9525b,t,2026-07-23 07:41:34.052246+00,2026-07-23 07:41:34.052246+00,hcm 14 nvy phu tho hoa tan phu,\N,\N,HCM,\N,\N,HO,"HCM 14 NVY,Phú Thọ Hòa,Tân Phú",HCM|14 nvy phu tho hoa tan phu,"[{""row"": 4, ""section"": ""HO"", ""raw_label"": ""HCM 14 NVY,Phú Thọ Hòa,Tân Phú""}]",[]
23c4b8e4-9d79-5abd-9977-b3153c680108,"336-340 Huỳnh Tấn Phát, Q7",336 340 huynh tan phat q7,,,MISSING,DS_Dia_chi_van_phong_FTEL_toan_quoc_upd_Foxeco.csv,5,be32c72f2b34aeabdcad21a26636d2473de1079ef5f5d35a9b7cc2a0e0a9525b,t,2026-07-23 07:41:34.052246+00,2026-07-23 07:41:34.052246+00,hcm 336 340 huynh tan phat q7,\N,\N,HCM,\N,\N,HO,"HCM 336-340 Huỳnh Tấn Phát, Q7",HCM|336 340 huynh tan phat q7,"[{""row"": 5, ""section"": ""HO"", ""raw_label"": ""HCM 336-340 Huỳnh Tấn Phát, Q7""}]",[]
8d8fd7af-67e1-5ead-97bd-b4c87ec5e142,"55D5 đường D5, Bình Thạnh",55d5 duong d5 binh thanh,10.8068030,106.7117278,MISSING,DS_Dia_chi_van_phong_FTEL_toan_quoc_upd_Foxeco.csv,6,be32c72f2b34aeabdcad21a26636d2473de1079ef5f5d35a9b7cc2a0e0a9525b,t,2026-07-23 07:41:34.052246+00,2026-07-23 07:41:34.052246+00,hcm 55d5 duong d5 binh thanh,\N,\N,HCM,\N,\N,HO,"HCM 55D5 đường D5, Bình Thạnh",HCM|55d5 duong d5 binh thanh,"[{""row"": 6, ""section"": ""HO"", ""raw_label"": ""HCM 55D5 đường D5, Bình Thạnh""}]",[]
f7693bbd-0912-52b7-88ff-55e7ded5a28b,"69 LVKhươg,ĐôgThạnh,HócMôn",69 lvkhuog dogthanh hocmon,,,MISSING,DS_Dia_chi_van_phong_FTEL_toan_quoc_upd_Foxeco.csv,7,be32c72f2b34aeabdcad21a26636d2473de1079ef5f5d35a9b7cc2a0e0a9525b,t,2026-07-23 07:41:34.052246+00,2026-07-23 07:41:34.052246+00,hcm 69 lvkhuog dogthanh hocmon,\N,\N,HCM,\N,\N,HO,"HCM 69 LVKhươg,ĐôgThạnh,HócMôn",HCM|69 lvkhuog dogthanh hocmon,"[{""row"": 7, ""section"": ""HO"", ""raw_label"": ""HCM 69 LVKhươg,ĐôgThạnh,HócMôn""}]",[]
2fe6e707-efe4-5f32-89e6-527bff3ae588,"82/20 Quang Trung, Gò Vấp",82 20 quang trung go vap,10.8314142,106.6685215,MISSING,DS_Dia_chi_van_phong_FTEL_toan_quoc_upd_Foxeco.csv,8,be32c72f2b34aeabdcad21a26636d2473de1079ef5f5d35a9b7cc2a0e0a9525b,t,2026-07-23 07:41:34.052246+00,2026-07-23 07:41:34.052246+00,hcm 82 20 quang trung go vap,\N,\N,HCM,\N,\N,HO,"HCM 82/20 Quang Trung, Gò Vấp",HCM|82 20 quang trung go vap,"[{""row"": 8, ""section"": ""HO"", ""raw_label"": ""HCM 82/20 Quang Trung, Gò Vấp""}]",[]
